,user_score,meta_score,title,console,release_date
348,8.8,88,Psychonauts,XBOX,2005
349,8.8,78,Stronghold: Crusader,PC,2002
350,8.8,81,The Witcher,PC,2007
351,8.8,82,Sonic the Hedgehog 2,X360,2007
352,8.8,75,All-Star Baseball 2005,XBOX,2004
353,8.8,88,Fight Night Round 2,PS2,2005
354,8.8,83,Tom Clancy's Rainbow Six 3: Raven Shield,PC,2003
355,8.8,82,Dance Dance Revolution Ultramix,XBOX,2003
356,8.8,69,Scaler,XBOX,2004
357,8.8,76,Kingdom Hearts: Chain of Memories,GBA,2004
358,8.8,81,NHL Hitz Pro,XBOX,2003
359,8.8,88,Fight Night Round 2,XBOX,2005
360,8.8,82,NCAA March Madness 2004,PS2,2003
361,8.8,87,Psychonauts,PC,2005
362,8.8,60,"Shaman King: Legacy of the Spirits, Sprinting Wolf",GBA,2005
363,8.8,77,Dragon Ball Z: Budokai 3,PS2,2004
364,8.8,84,Medieval: Total War - Viking Invasion,PC,2003
365,8.8,68,Monster Hunter,PS2,2004
366,8.8,83,TimeSplitters: Future Perfect,XBOX,2005
367,8.8,90,Burnout Revenge,PS2,2005
368,8.8,58,Delta Force: Black Hawk Down,PS2,2005
369,8.8,73,LEGO DC Super-Villains,XONE,2018
370,8.8,75,Tak 2: The Staff of Dreams,GC,2004
371,8.8,72,Silent Hill 3,PC,2004
372,8.8,84,The Wolf Among Us: Episode 5 - Cry Wolf,PC,2014
373,8.8,84,The Walking Dead: Season Two Episode 5 - No Going Back,X360,2014
374,8.8,68,Mytran Wars,PSP,2009
375,8.8,76,Marvel vs. Capcom 2,PS2,2002
376,8.8,67,Harry Potter and the Prisoner of Azkaban,XBOX,2004
377,8.8,75,Dynasty Warriors 2,PS2,2000
378,8.8,84,Virtua Tennis: World Tour,PSP,2005
379,8.8,82,Hitman: Blood Money,PC,2006
380,8.8,84,TimeSplitters: Future Perfect,PS2,2005
381,8.8,77,Life is Strange: Episode 2 - Out of Time,PC,2015
382,8.8,78,Mount & Blade: Warband,PC,2010
383,8.8,90,Hollow Knight,Switch,2018
384,8.8,81,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006
385,8.8,84,Disgaea: Hour of Darkness,PS2,2003
386,8.8,80,MLB Power Pros,PS2,2007
387,8.8,85,Tony Hawk's Underground,XBOX,2003
388,8.8,83,Star Wars: Battlefront II,XBOX,2005
389,8.8,87,Marvel's Spider-Man,PS4,2018
390,8.8,82,Dangerous Waters,PC,2005
391,8.8,61,Original War,PC,2001
392,8.8,87,Dragon Ball FighterZ,Switch,2018
393,8.8,77,Kelly Slater's Pro Surfer,PS2,2002
394,8.8,81,Onimusha: Dawn of Dreams,PS2,2006
395,8.8,80,Hearts of Iron II: Doomsday,PC,2006
396,8.8,54,Star Trek: Conquest,PS2,2007
397,8.8,63,Battlestar Galactica,XBOX,2003
398,8.8,87,Tactics Ogre: Let Us Cling Together,PSP,2011
399,8.8,82,SOCOM 3: U.S. Navy SEALs,PS2,2005
400,8.8,78,Hitman: Contracts,XBOX,2004
401,8.8,80,The Wolf Among Us,PC,2013
402,8.8,87,Spider-Man,PS,2000
403,8.8,85,Yakuza 0,PS4,2017
404,8.8,70,Making History: The Calm and the Storm,PC,2007
405,8.8,83,Ghost Trick: Phantom Detective,DS,2011
406,8.8,77,Monster Rancher 4,PS2,2003
407,8.8,84,Psi-Ops: The Mindgate Conspiracy,PS2,2004
408,8.8,92,Eternal Darkness: Sanity's Requiem,GC,2002
409,8.8,83,NBA Ballers,PS2,2004
410,8.8,89,Ratchet & Clank Future: Tools of Destruction,PS3,2007
411,8.8,80,Kirby & the Amazing Mirror,GBA,2004
412,8.8,86,Winning Eleven: Pro Evolution Soccer 2007,PS2,2007
413,8.8,86,IL-2 Sturmovik: 1946,PC,2007
414,8.8,63,Dragon Ball Z: Tenkaichi Tag Team,PSP,2010
415,8.8,79,The Simpsons: Hit & Run,GC,2003
416,8.8,77,Secret Weapons Over Normandy,XBOX,2003
417,8.8,85,Syphon Filter: Logan's Shadow,PSP,2007
418,8.8,85,Medieval II: Total War Kingdoms,PC,2007
419,8.8,62,Yu-Gi-Oh! GX Tag Force,PSP,2006
420,8.8,74,Pirates: The Legend of Black Kat,XBOX,2002
