,title,user_Score,release_Date,console,publisher,developer,tot_ship,tot_sale,na_sale,pal_sale,keydata,other_sale,last_update,VGscore
9117,Hulk    ,N/A  ,27th May 03  ,GC,Universal Interactive  ,Radical Entertainment  ,,0.19m,0.15m,0.04m,0.19m,0.01m,,N/A  
9118,Boogie    ,N/A  ,12th Nov 07  ,PS2,Electronic Arts  ,"Pipeworks Software, Inc.  ",,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9119,Gungrave    ,N/A  ,16th Sep 02  ,PS2,Sega  ,"Ikusabune Inc. / Positron Co., Ltd  ",,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9120,Transworld Surf    ,N/A  ,30th Apr 02  ,PS2,Atari  ,Angel Studios  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9121,Tenchu: Fatal Shadows    ,N/A  ,15th Feb 05  ,PS2,Sega  ,K2 LLC  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9122,Magical ZhuZhu Princess: Carriages & Castles    ,N/A  ,08th Feb 11  ,DS,Activision  ,Black Lantern Studios  ,,0.19m,0.13m,0.04m,0.19m,0.02m,,N/A  
9123,Wishmaster    ,N/A  ,N/A  ,PC,Unknown  ,Unknown  ,0.19m,,,,0.19m,,01st Mar 19,N/A  
9124,Jurassic: The Hunted    ,N/A  ,03rd Nov 09  ,PS3,Activision  ,Activision  ,,0.19m,0.17m,,0.19m,0.02m,,N/A  
9125,Reel Fishing Paradise 3D    ,N/A  ,28th Jun 11  ,3DS,Natsume  ,Natsume  ,,0.19m,0.12m,,0.19m,0.01m,,N/A  
9126,Fairy Fencer F    ,N/A  ,16th Sep 14  ,PS3,NIS America  ,Compile Heart  ,,0.19m,0.05m,0.03m,0.19m,0.02m,04th Nov 18,N/A  
9127,Street Fighter 30th Anniversary Collection    ,N/A  ,29th May 18  ,NS,Capcom  ,Capcom  ,,0.19m,0.12m,0.04m,0.19m,0.02m,07th Nov 18,N/A  
9128,The Legend of Spyro: A New Beginning    ,N/A  ,10th Oct 06  ,GC,Sierra Entertainment  ,Krome Studios  ,,0.19m,0.15m,0.04m,0.19m,0.01m,,N/A  
9129,Fantasia: Music Evolved    ,N/A  ,21st Oct 14  ,XOne,Disney Interactive Studios  ,Harmonix Music Systems  ,,0.19m,0.14m,0.03m,0.19m,0.02m,24th Nov 18,N/A  
9130,International Soccer    ,N/A  ,01st Jan 82  ,2600,Mattel Interactive  ,Mattel  ,,0.19m,0.18m,0.01m,0.19m,0.00m,,N/A  
9131,Armored Core: For Answer    ,N/A  ,16th Sep 08  ,PS3,Ubisoft  ,From Software  ,,0.19m,0.06m,0.02m,0.19m,0.01m,,6.8
9132,Princess Maker: Yumemiru Yosei    ,N/A  ,24th Jan 97  ,PS,Sony Computer Entertainment  ,Unknown  ,,0.19m,,,0.19m,0.01m,,N/A  
9133,Conflict: Denied Ops    ,N/A  ,12th Feb 08  ,PS3,Eidos Interactive  ,Pivotal Games  ,,0.19m,0.05m,0.10m,0.19m,0.03m,,N/A  
9134,Squeeballs Party    ,N/A  ,12th Oct 09  ,Wii,Aksys Games  ,Eiconic Games  ,,0.19m,0.17m,0.00m,0.19m,0.01m,,N/A  
9135,Where's Waldo? The Fantastic Journey    ,N/A  ,22nd Sep 09  ,Wii,Ubisoft  ,Classic Media Distribution Limited  ,,0.19m,0.17m,,0.19m,0.01m,,N/A  
9136,Big Air    ,N/A  ,30th Mar 99  ,PS,Accolade  ,Pitbull Syndicate  ,,0.19m,0.10m,0.07m,0.19m,0.01m,,N/A  
9137,Farmtopia    ,N/A  ,31st Aug 10  ,DS,505 Games  ,505 Games  ,,0.19m,0.18m,,0.19m,0.01m,,N/A  
9138,Shining Force II    ,N/A  ,19th Oct 94  ,GEN,Sega  ,Camelot Software Planning  ,,0.19m,,,0.19m,,,N/A  
9139,Gallop Racer    ,N/A  ,17th Mar 99  ,PS,Tecmo  ,Tecmo  ,,0.19m,,,0.19m,0.01m,,N/A  
