,title,user_Score,release_Date,console,publisher,developer,tot_ship,tot_sale,na_sale,pal_sale,keydata,other_sale,last_update,VGscore
17546,NANA: Live Staff Daiboshuu! Shoshinsha Kangei    ,N/A  ,21st Jun 07  ,DS,Konami  ,Konami  ,,0.02m,,,0.02m,,,N/A  
17547,Manga-ka Debut Monogatari: Suteki na Manga o Egakou    ,N/A  ,16th Mar 17  ,3DS,Nippon Columbia  ,Nippon Columbia  ,,0.02m,,,0.02m,,06th Aug 18,N/A  
17548,Samurai Warriors: Sanada Maru    ,N/A  ,23rd Nov 16  ,PS3,Tecmo Koei  ,Omega Force  ,,0.02m,,,0.02m,,09th Jul 18,N/A  
17549,Moto Racer 4    ,N/A  ,24th Jan 17  ,XOne,Microids  ,Microids  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17550,Crazy Machines    ,N/A  ,07th Jun 11  ,Wii,Mentor Interactive  ,FAKT Software GmBH  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17551,Puppet Show 3: Lost Town    ,N/A  ,02nd Dec 11  ,PC,Focus Home Interactive  ,Big Fish Games  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17552,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto    ,N/A  ,15th Feb 07  ,PS2,Marvelous Interactive  ,Marvelous Interactive  ,,0.02m,,,0.02m,,,N/A  
17553,Sudden Strike 4     ,N/A  ,26th Jun 18  ,XOne,Kalypso Media  ,Kite Games  ,,0.02m,0.02m,,0.02m,0.00m,24th Mar 18,N/A  
17554,Dunamis 15    ,N/A  ,15th Sep 11  ,PS3,5pb  ,5pb. Games  ,,0.02m,,,0.02m,,19th Dec 18,N/A  
17555,DemiKids: Dark Version    ,N/A  ,07th Oct 03  ,GBA,Atlus  ,Atlus Co.  ,,0.02m,0.02m,0.01m,0.02m,0.00m,,N/A  
17556,Catan    ,N/A  ,28th May 09  ,DS,CDV Software Entertainment  ,USM  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17557,Mage Knight: Destiny's Soldier    ,N/A  ,26th Sep 06  ,DS,Namco Bandai  ,Big Blue Bubble Inc.  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17558,Blender Bros.    ,N/A  ,15th Apr 02  ,GBA,Atari  ,Hudson  ,,0.02m,0.02m,0.01m,0.02m,0.00m,,N/A  
17559,Chili Con Carnage    ,N/A  ,27th Feb 07  ,PSP,Eidos Interactive  ,Deadline Games  ,,0.02m,,0.02m,0.02m,0.01m,,N/A  
17560,Suzumiya Haruhi no Heiretsu    ,N/A  ,26th Mar 09  ,Wii,Sega  ,Sega  ,,0.02m,,,0.02m,,,N/A  
17561,DemiKids: Light Version    ,N/A  ,06th Oct 03  ,GBA,Atlus  ,Atlus Co.  ,,0.02m,0.02m,0.01m,0.02m,0.00m,,N/A  
17562,Nanatsuiro * Drops Pure!!    ,N/A  ,20th Sep 07  ,PS2,Media Works  ,UNiSONSHIFT  ,,0.02m,,,0.02m,,,N/A  
17563,Guitar Hero III: Legends of Rock    ,N/A  ,13th Nov 07  ,PC,Aspyr  ,Aspyr  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17564,Pe-Jongju to Manabu Kankokugo DS: Test-Hen    ,N/A  ,26th Aug 10  ,DS,D3 Publisher  ,Mobilero  ,,0.02m,,,0.02m,,,N/A  
17565,World Series of Poker 2008: Battle for the Bracelets    ,N/A  ,06th Nov 07  ,PSP,Activision  ,Left Field Productions  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17566,Ghost Pirates of Vooju Island    ,N/A  ,06th Nov 09  ,PC,DTP Entertainment  ,Autumn Moon  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17567,Zero Escape The Nonary Games    ,N/A  ,24th Mar 17  ,PSV,Aksys Games  ,Spike Chunsoft  ,,0.02m,0.01m,,0.02m,0.00m,19th Sep 18,N/A  
17568,Bottom of the 9th '97    ,N/A  ,01st Jun 97  ,PS,Konami  ,Konami  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17569,G1 Jockey Wii    ,N/A  ,29th Jun 07  ,Wii,KOEI  ,Koei/Inis  ,,0.02m,,0.01m,0.02m,0.00m,,N/A  
17570,Shaman King: Chou Senjiryokketsu 3    ,N/A  ,13th Dec 02  ,GBA,King Records  ,Studio Saizensen  ,,0.02m,,,0.02m,0.00m,,N/A  
17571,Line Rider 2: Unbound    ,N/A  ,07th Oct 08  ,Wii,"Genius Products, Inc.  ",InXile Entertainment  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17572,Demigod    ,N/A  ,14th Apr 09  ,PC,Atari  ,Gas Powered Games  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17573,HatsuKare * Renai Debut Sengen!    ,N/A  ,04th Apr 13  ,PSP,FuRyu Corporation  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17574,Warhammer Online: Age of Reckoning    ,N/A  ,18th Sep 08  ,PC,Electronic Arts  ,Mythic  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17575,Phantasy Star Online 2 Episode 4: Deluxe Package    ,N/A  ,20th Apr 17  ,PSV,Sega  ,Sega  ,,0.02m,,,0.02m,,18th Sep 18,N/A  
17576,Stronghold 2 Deluxe    ,N/A  ,28th Oct 05  ,PC,2K Games  ,FireFly Studios  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17577,Super Run For Money Tousouchuu & Sentouchuu    ,N/A  ,29th Nov 18  ,NS,Bandai Namco Games  ,Bandai Namco Games  ,,0.02m,,,0.02m,,05th Jan 19,N/A  
17578,Kingdom: Ikkitousen no Ken    ,N/A  ,25th Nov 10  ,PSP,Konami  ,Konami  ,,0.02m,,,0.02m,,,N/A  
17579,L.A. Noire: The Complete Edition    ,N/A  ,15th Nov 11  ,PS3,Rockstar Games  ,Rockstar Leeds  ,,0.02m,,0.02m,0.02m,0.01m,,N/A  
17580,Rapala for Kinect    ,N/A  ,15th Nov 11  ,X360,Activision  ,Activision  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17581,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen    ,N/A  ,10th May 07  ,PS2,Yuke's  ,Yuke's Future Media Creators  ,,0.02m,,,0.02m,,,N/A  
17582,Dynamic Chord feat. Reve Parfait: V Edition    ,N/A  ,29th Sep 16  ,PSV,honeybee  ,Unknown  ,,0.02m,,,0.02m,,21st Feb 18,N/A  
17583,Totally Spies! 2: Undercover    ,N/A  ,27th Nov 06  ,DS,Atari  ,Mistic Software  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17584,Bomberman Story DS    ,N/A  ,07th Mar 08  ,DS,Rising Star   ,Hudson Soft  ,,0.02m,,0.00m,0.02m,0.00m,,N/A  
17585,Bridge Constructor Portal    ,N/A  ,28th Aug 18  ,XOne,Nighthawk Interactive  ,ClockStone  ,,0.02m,0.02m,,0.02m,0.00m,09th Jul 18,N/A  
17586,Vampire Mansion: Linda Hyde    ,N/A  ,01st Sep 11  ,DS,Unknown  ,Easy Interactive  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17587,RayCrisis: Series Termination    ,N/A  ,25th Oct 00  ,PS,Working Designs  ,Taito Corporation  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17588,DiRT    ,N/A  ,19th Jun 07  ,PC,Codemasters  ,Codemasters  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17589,Indianapolis 500 Evolution    ,N/A  ,01st Oct 09  ,X360,Destineer  ,Brain in a Jar  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17590,Spirits and Demons: 5 Game Pack    ,N/A  ,21st Aug 15  ,PC,Focus Multimedia  ,Unknown  ,,0.02m,,0.02m,0.02m,0.00m,22nd Sep 18,N/A  
17591,Blade Strangers    ,N/A  ,28th Aug 18  ,PS4,Nicalis  ,Studio Saizensen  ,,0.02m,0.02m,,0.02m,0.00m,28th Jul 18,N/A  
17592,Ikki Tousen: Shining Dragon    ,N/A  ,31st Dec 20  ,PS2,Unknown  ,Marvelous  ,,0.02m,,,0.02m,,,N/A  
17593,"Warhammer 40,000: Inquisitor - Martyr    ",N/A  ,28th Aug 18  ,PS4,Neocore Games  ,Neocore Games  ,,0.02m,0.02m,,0.02m,0.00m,24th Mar 18,N/A  
17594,Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki    ,N/A  ,27th Mar 08  ,PS2,Minato Station  ,Minato Station  ,,0.02m,,,0.02m,,,N/A  
17595,Toxic Grind    ,N/A  ,27th Oct 02  ,XB,THQ  ,Blue Shift  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17596,American McGee presents ScrapLand    ,N/A  ,28th Feb 05  ,XB,Enlight  ,Mercury Steam Entertainment  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17597,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable    ,N/A  ,24th Feb 11  ,PSP,Paon   ,Paon Corporation  ,,0.02m,,,0.02m,,,N/A  
17598,Enchanted Arms (jp sales)    ,N/A  ,29th Aug 06  ,X360,Ubisoft  ,From Software  ,,0.02m,,,0.02m,,,N/A  
17599,Katen no Hana    ,N/A  ,28th Mar 13  ,PSP,Tecmo Koei  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17600,Serious Sam HD: The First and Second Encounters    ,N/A  ,25th Mar 11  ,X360,Mastertronic  ,Croteam  ,,0.02m,,0.02m,0.02m,0.00m,27th Dec 18,N/A  
17601,Harukanaru Toki no Naka de 3 with Izayoiki Aizouban    ,N/A  ,19th Mar 09  ,PSP,KOEI  ,Koei  ,,0.02m,,,0.02m,,,N/A  
17602,Pharaoh    ,N/A  ,31st Oct 99  ,PC,Sierra Entertainment  ,Impressions Games  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17603,Quantum Break    ,N/A  ,29th Sep 16  ,PC,THQ Nordic  ,Remedy Entertainment  ,,0.02m,,0.02m,0.02m,0.00m,20th Jan 18,N/A  
17604,Star Trek Online    ,N/A  ,02nd Feb 10  ,PC,Atari  ,Cryptic Studios  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17605,Rugby League Live 4    ,N/A  ,28th Jul 17  ,XOne,Tru Blu Entertainment  ,Big Ant Studios  ,,0.02m,,0.02m,0.02m,0.00m,13th Aug 18,N/A  
17606,D.Gray-man: Sousha no Shikaku    ,N/A  ,11th Sep 08  ,PS2,Konami  ,Konami  ,,0.02m,,,0.02m,,,N/A  
17607,Ookami to Koushinryou: Omiowataru Kaze    ,N/A  ,17th Sep 09  ,DS,ASCII Media Works  ,ASCII Media Works  ,,0.02m,,,0.02m,,,N/A  
17608,Sniper Elite V2    ,N/A  ,21st May 13  ,WiiU,505 Games  ,Rebellion Developments  ,,0.02m,,0.02m,0.02m,0.00m,13th Mar 18,N/A  
17609,ABZU    ,N/A  ,31st Jan 17  ,XOne,505 Games  ,Giant Squid Studios  ,,0.02m,0.02m,,0.02m,0.00m,01st Aug 18,N/A  
17610,Big Buck Hunter Arcade    ,N/A  ,17th Jan 17  ,PS4,GameMill Entertainment  ,GameMill Entertainment  ,,0.02m,0.02m,,0.02m,0.00m,18th Aug 18,N/A  
17611,F1 Race Stars    ,N/A  ,13th Nov 12  ,PC,Codemasters  ,Codemasters Birmingham  ,,0.02m,,0.02m,0.02m,0.00m,17th Oct 18,N/A  
17612,Pharaonic    ,N/A  ,29th Sep 17  ,XOne,Soedesco  ,Milkstone Studios  ,,0.02m,0.02m,,0.02m,0.00m,13th Aug 18,N/A  
17613,Motto! SoniComi    ,N/A  ,20th Mar 14  ,PS3,Kadokawa Games  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17614,School Days LxH    ,N/A  ,17th Jan 08  ,PS2,Interchannel  ,0verflow  ,,0.02m,,,0.02m,,,N/A  
17615,ATV Drift & Tricks    ,N/A  ,20th Nov 18  ,XOne,Microids  ,Artefacts Studio  ,,0.02m,0.02m,,0.02m,0.00m,31st Oct 18,N/A  
17616,Cities XL 2011    ,N/A  ,14th Oct 10  ,PC,Focus Home Interactive  ,Monte Cristo Multimedia  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17617,Yuukyuu no Tierblade: Lost Chronicle    ,N/A  ,08th Sep 16  ,PSV,Idea Factory  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17618,Big Idea's VeggieTales: LarryBoy and the Bad Apple    ,N/A  ,08th Aug 06  ,PS2,Crave Entertainment  ,Papaya Studios  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17619,Neo Angelique    ,N/A  ,04th Mar 06  ,PS2,KOEI  ,Koei  ,,0.02m,,,0.02m,,,N/A  
17620,Zumba Fitness: World Party    ,N/A  ,N/A  ,X360,Unknown  ,Zoe Mode  ,,0.02m,,0.02m,0.02m,0.00m,01st Apr 18,N/A  
17621,Titan Quest    ,N/A  ,20th Mar 18  ,XOne,THQ Nordic  ,THQ Nordic  ,,0.02m,0.02m,,0.02m,0.00m,31st Mar 18,N/A  
17622,Namco Museum Battle Collection (JP sales)    ,N/A  ,23rd Aug 05  ,PSP,Namco  ,Namco Tales Studio  ,,0.02m,,,0.02m,,,N/A  
17623,Stronghold Crusader Extreme    ,N/A  ,02nd Jun 08  ,PC,Gamecock  ,FireFly Studios  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17624,Brandish: The Dark Revenant    ,N/A  ,19th Mar 09  ,PSP,Falcom Corporation  ,Nihon Falcom Corporation  ,,0.02m,,,0.02m,,,N/A  
17625,Chaos;Head Noah    ,N/A  ,24th Jun 10  ,PSP,5pb  ,Genterprise  ,,0.02m,,,0.02m,,,N/A  
17626,Samurai Shodown V    ,N/A  ,18th Jan 06  ,XB,SNK Playmore  ,Yuki Enterprise  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17627,Summon Night: Swordcraft Story    ,N/A  ,26th Jul 06  ,GBA,Atlus  ,Flight-Plan  ,,0.02m,0.02m,0.01m,0.02m,0.00m,,N/A  
17628, Akogare Girls Collection: Pika Pika Nurse Monogatari - Shounika Haitsumo Oosawagi    ,N/A  ,10th Nov 16  ,DS,Nippon Columbia  ,Nippon Columbia  ,,0.02m,,,0.02m,,03rd Aug 18,N/A  
17629,PuraMai Wars V    ,N/A  ,25th Aug 16  ,PSV,Unknown  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17630,Fishdom 2 Deluxe    ,N/A  ,03rd Nov 10  ,PC,Rondomedia  ,Playrix Entertainment  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17631,Geometry Wars 3: Dimensions Evolved    ,N/A  ,11th Oct 16  ,XOne,Activision  ,Unknown  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17632,Minna no Chizu 2    ,N/A  ,26th Apr 07  ,PSP,Zenrin  ,Zenrin  ,,0.02m,,,0.02m,,,N/A  
17633,Pro Fishing Challenge    ,N/A  ,31st Aug 04  ,XB,Atlus  ,Opus Studio  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17634,Franklin's Great Adventures    ,N/A  ,01st Apr 06  ,DS,Game Factory  ,Neko Entertainment  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17635,Geten no Hana with Yume Akari: Aizouban    ,N/A  ,08th Sep 16  ,PSV,Tecmo Koei  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17636,Princess Saver! Eternal Love for My Lady    ,N/A  ,28th Jan 10  ,PS2,Comfort  ,Ricotta  ,,0.02m,,,0.02m,,,N/A  
17637,Ice Age: Dawn of the Dinosaurs    ,N/A  ,30th Jun 09  ,PC,Activision  ,Eurocom Entertainment Software  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,6.9
17638,Jitsumei Jikkyou Keiba Dream Classic 2002    ,N/A  ,23rd May 02  ,PS2,Bandai  ,Bandai  ,,0.02m,,,0.02m,,,N/A  
17639,To Love-Ru Trouble: Darkness - True Princess    ,N/A  ,05th Nov 15  ,PSV,FuRyu Corporation  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17640,Tokyo Mew Mew    ,N/A  ,05th Dec 02  ,PS,Takara  ,Takara  ,,0.02m,,,0.02m,0.00m,,N/A  
17641,Interactive Storybook DS Series 3    ,N/A  ,26th Oct 07  ,DS,Tommo  ,Tommo  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17642,Kawasaki Jet Ski    ,N/A  ,22nd Jan 08  ,Wii,Destineer  ,Data Design Interactive  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17643,Moujuutsukai to Oujisama: Snow Bride Portable    ,N/A  ,23rd Feb 12  ,PSP,Idea Factory  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17644,Twinkle * Crusaders GoGo!    ,N/A  ,30th Sep 10  ,PSP,ASCII Media Works  ,ASCII Media Works  ,,0.02m,,,0.02m,,,N/A  
17645,Ceville    ,N/A  ,09th Apr 09  ,PC,Kalypso  ,Realmforge Studios  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17646,Europa Universalis III Complete     ,N/A  ,28th Oct 08  ,PC,Paradox Interactive   ,Paradox Interactive  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17647,Rule of Rose    ,N/A  ,12th Sep 06  ,PS2,Atlus  ,Punchline / Shirogumi  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17648,Override: Mech City Brawl    ,N/A  ,04th Dec 18  ,XOne,Modus Games  ,The Balance Inc  ,,0.02m,0.02m,,0.02m,0.00m,28th Mar 19,N/A  
17649,Resident Evil: Revelations    ,N/A  ,29th Aug 17  ,XOne,Capcom  ,Capcom  ,,0.02m,0.02m,,0.02m,0.00m,16th Mar 18,N/A  
17650,RedCard 20-03    ,N/A  ,24th Jun 02  ,GC,Midway Games  ,Point of View  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17651,Freestyle Metal X    ,N/A  ,14th Sep 03  ,XB,Midway Games  ,Deibus Studios  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17652,Sousaku Alice to Oujisama!    ,N/A  ,26th Nov 15  ,3DS,Happinet  ,Happinet  ,,0.02m,,,0.02m,,03rd Aug 18,N/A  
17653,Space Hulk Tactics    ,N/A  ,09th Oct 18  ,PS4,Focus Home Interactive  ,Cyanide  ,,0.02m,0.02m,,0.02m,0.00m,28th Jun 18,N/A  
17654,The Professor's Brain Trainer: Logic    ,N/A  ,17th Nov 06  ,DS,505 Games  ,Interchannel  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17655,The Guided Fate: Cross Thesis Awakening    ,N/A  ,17th Mar 15  ,PS3,NIS America  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17656,Monster High 13 Wishes    ,N/A  ,29th Oct 13  ,WiiU,Little Orbit  ,Unknown  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17657,Shonen Jump's One Piece: Grand Adventure    ,N/A  ,29th Aug 06  ,PS2,Namco Bandai  ,Ganbarion  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17658,Tom Clancy's Rainbow Six: Vegas 2    ,N/A  ,15th Apr 08  ,PC,Ubisoft  ,Ubisoft Montreal  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17659,Collar x Malice: Unlimited     ,N/A  ,26th Jul 18  ,PSV,Idea Factory  ,Idea Factory  ,,0.02m,,,0.02m,,25th Aug 18,N/A  
17660,Pac-Man World Rally    ,N/A  ,22nd Aug 06  ,PS2,Namco Bandai  ,Smart Bomb Interactive  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17661,The Legend of Heroes: Trails of Cold Steel II Kai - The Erebonian Civil War    ,N/A  ,19th Mar 19  ,PS4,Xseed Games  ,Nihon Falcom Corporation  ,,0.02m,,,0.02m,,20th May 18,N/A  
17662,Rugby League Team Manager 2015    ,N/A  ,19th Jun 15  ,PC,Alternative Software  ,Alternative Software  ,,0.02m,,0.02m,0.02m,0.00m,22nd Sep 18,N/A  
17663,Broken Sword 5: The Serpent's Curse    ,N/A  ,04th Sep 15  ,XOne,Revolution Software  ,Revolution Software  ,,0.02m,,0.02m,0.02m,0.00m,13th Aug 18,N/A  
17664,Natalie Brooks: Mystery at Hillcrest High    ,N/A  ,06th Apr 12  ,DS,Licensed 4U  ,Unknown  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17665,Uta Kumi 575    ,N/A  ,23rd Jan 14  ,PSV,Sega  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17666,Hoshiori Yume Mirai: Converted Edition    ,N/A  ,10th Aug 16  ,PSV,Prototype  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17667,Tropico 4: Modern Times    ,N/A  ,29th Mar 12  ,PC,Kalypso Media  ,Haemimont Games  ,,0.02m,,0.02m,0.02m,0.00m,23rd Apr 19,N/A  
17668,Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!     ,N/A  ,13th Feb 09  ,DS,PlayV  ,PlayV  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17669,428: Fuusa Sareta Shibuya de    ,N/A  ,03rd Sep 09  ,PS3,Spike  ,ChunSoft  ,,0.02m,,,0.02m,,,N/A  
17670,Kung Fu Panda    ,N/A  ,03rd Jun 08  ,PC,Activision  ,Beenox  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17671,Hisshou Pachinko * Pachi-Slot Kouryaku Series Portable Vol. 2: CR Evangelion - Hajimari no Fukuin    ,N/A  ,18th Nov 10  ,PSP,D3 Publisher  ,D3 Publisher  ,,0.02m,,,0.02m,,,N/A  
17672,Brothers in Arms: Hell's Highway    ,N/A  ,07th Oct 08  ,PC,Ubisoft  ,Gearbox Software  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17673,Rugby World Cup 2015    ,N/A  ,04th Sep 15  ,XOne,Big Ben Interactive  ,HB Studios  ,,0.02m,,0.02m,0.02m,0.00m,19th Apr 18,N/A  
17674,Abunai: Koi no Sousa Shitsu    ,N/A  ,21st May 15  ,PSV,Asgard  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17675,NFL Blitz Pro    ,N/A  ,02nd Dec 03  ,GC,Midway Games  ,Point of View  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17676,The Crew: Wild Run    ,N/A  ,17th Nov 15  ,XOne,Ubisoft  ,Ivory Tower  ,,0.02m,,0.02m,0.02m,0.00m,04th Jan 18,N/A  
17677,The Three Kingdoms Love Story ~ The Art of Otome!    ,N/A  ,04th Feb 16  ,PSV,Prototype  ,Prototype  ,,0.02m,,,0.02m,,26th Apr 19,N/A  
17678,Date A Live: Arusu Install    ,N/A  ,26th Jun 14  ,PS3,Compile Heart  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17679,Commandos: Strike Force    ,N/A  ,04th Apr 06  ,XB,Eidos Interactive  ,Pyro Studios  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17680,Warriors of the Lost Empire (JP sales)    ,N/A  ,13th Dec 07  ,PSP,UFO Interactive  ,Goshow  ,,0.02m,,,0.02m,,,N/A  
17681,Jojo's Bizarre Adventure    ,N/A  ,31st Mar 00  ,PS,Capcom  ,Capcom  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17682,Let's Play Flight Attendant    ,N/A  ,30th Mar 10  ,DS,Deep Silver  ,Zig Zag  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17683,Lode Runner    ,N/A  ,26th Oct 06  ,DS,Hudson Entertainment  ,Hudson Soft  ,,0.02m,,,0.02m,,,N/A  
17684,18 Wheels of Steel: Extreme Trucker    ,N/A  ,02nd Oct 09  ,PC,ValuSoft  ,SCS Software  ,,0.02m,0.00m,0.02m,0.02m,0.00m,,N/A  
17685,Evolution Snowboarding    ,N/A  ,26th Nov 02  ,PS2,Konami  ,Konami Computer Entertainment Osaka  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
17686,Mario Tennis    ,N/A  ,N/A  ,3DS,Unknown  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17687,Zathura    ,N/A  ,02nd Nov 05  ,XB,2K Games  ,High Voltage Software  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17688,Jissen Pachinko Hisshouhou! CR Sakura Taisen    ,N/A  ,13th Sep 07  ,PS2,Sega  ,Sammy Studios  ,,0.02m,,,0.02m,,,N/A  
17689,Falcon 4.0: Allied Force    ,N/A  ,28th Jun 05  ,PC,Graphsim Entertainment   ,Lead Pursuit  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17690,GT Legends    ,N/A  ,23rd Jan 06  ,PC,Viva Media  ,SimBin  ,,0.02m,,0.02m,0.02m,0.00m,,N/A  
17691,Triple Crown Championship Snowboarding    ,N/A  ,16th Feb 10  ,Wii,Destineer  ,Unknown  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17692,Need for Speed: Payback    ,N/A  ,10th Nov 17  ,PC,Electronic Arts  ,Ghost Games  ,,0.02m,,0.02m,0.02m,0.00m,04th Apr 18,N/A  
17693,Saint    ,N/A  ,21st Jul 09  ,Wii,UFO Interactive  ,Starfish SD  ,,0.02m,0.02m,,0.02m,0.00m,,N/A  
17694,Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjyouki     ,N/A  ,28th Jun 96  ,SNES,Compile  ,Compile  ,,0.02m,,,0.02m,0.00m,,N/A  
17695,Warriors Orochi 2    ,N/A  ,20th Mar 12  ,X360,Tecmo Koei  ,Omega Force  ,,0.02m,,,0.02m,,24th Apr 18,N/A  
17696,Zillions of Enemy X: Zetsukai no Crusade    ,N/A  ,23rd May 13  ,PS3,Nippon Ichi Software  ,Unknown  ,,0.02m,,,0.02m,,,N/A  
17697,Castlevania: Lords of Shadow - Reverie    ,N/A  ,20th Apr 11  ,XBL,Konami  ,Mercury Steam  ,,0.02m,0.02m,0.00m,0.02m,0.00m,,N/A  
17698,Plants vs Zombies: Garden Warfare    ,N/A  ,25th Feb 14  ,PC,Electronic Arts  ,PopCap Games  ,,0.02m,,0.02m,0.02m,0.00m,05th Feb 18,N/A  
17699,Happiness! De-Lucks    ,N/A  ,25th Jan 07  ,PS2,Marvelous Interactive  ,Marvelous Interactive  ,,0.02m,,,0.02m,,,N/A  
17700,SaGa: Scarlet Grace    ,N/A  ,02nd Aug 18  ,NS,Square Enix  ,Square Enix  ,,0.02m,,,0.02m,,26th Aug 18,N/A  
17701,Yunohana Spring! Cherishing Time    ,N/A  ,15th Sep 16  ,PSV,Idea Factory  ,Idea Factory  ,,0.02m,,,0.02m,,,N/A  
17702,Doki Majo Plus    ,N/A  ,30th Jul 09  ,DS,SNK Playmore  ,SNK Playmore Corporation  ,,0.02m,,,0.02m,,,N/A  
17703,Steins;Gate Elite    ,N/A  ,19th Feb 19  ,NS,Spike Chunsoft  ,5pb. Inc.  ,,0.02m,,,0.02m,,06th Nov 18,N/A  
17704,Eureka Seven Vol. 2: The New Vision    ,N/A  ,23rd Apr 07  ,PS2,Namco Bandai  ,Namco Bandai Games America  ,,0.02m,,,0.02m,,,N/A  
17705,Love Once: Mermaid's Tears    ,N/A  ,24th Feb 11  ,PS3,Unknown  ,Silicon Studio  ,,0.02m,,,0.02m,,,N/A  
17706,Prison Architect    ,N/A  ,28th Jun 16  ,XOne,Introversion Software  ,Introversion Software  ,,0.02m,0.02m,,0.02m,0.00m,18th Aug 18,N/A  
17707,Puzzle Challenge: Crosswords and More!    ,N/A  ,09th Jun 06  ,PS2,Crave Entertainment  ,Supersonic Software  ,,0.02m,0.01m,0.01m,0.02m,0.00m,,N/A  
