,console,date,metascore,name,tot_sale,userscore
286,DS,2005,58.0,GoldenEye: Rogue Agent,0.11,75.0
287,DS,2007,33.0,AniMates!,0.03,25.0
288,DS,2011,79.0,Shin Megami Tensei: Devil Survivor 2,0.31,88.0
289,DS,2008,75.0,Zubo,0.11,76.0
290,DS,2009,75.0,Infinite Space,0.2,90.0
291,DS,2008,82.0,KORG DS-10 Synthesizer,0.22,82.0
292,DS,2008,75.0,Nanostray 2,0.05,78.0
293,DS,2007,69.0,The Simpsons Game,1.51,73.0
294,DS,2008,60.0,Dokapon Journey,0.05,70.0
295,DS,2007,78.0,Mega Man ZX Advent,0.33,86.0
296,DS,2006,64.0,Avatar: The Last Airbender,0.33,64.0
297,DS,2007,65.0,Harvest Moon DS: Island of Happiness,0.72,70.0
298,DS,2007,85.0,Final Fantasy IV,1.21,77.0
299,DS,0,79.0,GRID,0.05,81.0
300,DS,2008,48.0,Miami Nights: Singles in the City,0.08,71.0
301,DS,2008,68.0,Drawn To Life: SpongeBob SquarePants Edition,1.48,55.0
302,DS,2004,28.0,Ping Pals,0.11,39.0
303,DS,2009,65.0,Marvel: Ultimate Alliance 2,0.2,67.0
304,DS,2007,45.0,Napoleon Dynamite: The Game,0.03,73.0
305,DS,2007,63.0,Diddy Kong Racing DS,1.22,75.0
306,DS,2010,81.0,Super Scribblenauts,1.46,82.0
307,DS,2009,71.0,Moon,0.05,74.0
308,DS,2007,60.0,Wario: Master of Disguise,0.65,74.0
309,DS,2008,59.0,Bleach: The 3rd Phantom,0.2,80.0
310,DS,2007,77.0,Final Fantasy Crystal Chronicles: Ring of Fates,0.66,72.0
311,DS,2010,73.0,The Sims 3,0.67,64.0
312,DS,2007,55.0,Cake Mania,0.11,61.0
313,DS,2005,34.0,Marvel Nemesis: Rise of the Imperfects,0.08,65.0
314,DS,2005,69.0,Lost in Blue,0.11,78.0
315,DS,2009,93.0,Grand Theft Auto: Chinatown Wars,1.32,83.0
316,DS,2008,76.0,Knights in the Nightmare,0.08,86.0
317,DS,2009,78.0,Ace Attorney Investigations: Miles Edgeworth,0.7,84.0
318,DS,2008,78.0,Age of Empires: Mythologies,0.21,69.0
319,DS,2005,84.0,Tony Hawk's American Sk8land,0.21,87.0
320,DS,2008,50.0,The Sims 2: Apartment Pets,0.69,33.0
321,DS,2006,39.0,Turn It Around,0.03,45.0
322,DS,2008,83.0,Ninja Gaiden: Dragon Sword,0.21,78.0
323,DS,2008,38.0,1 vs. 100,0.08,32.0
324,DS,2010,79.0,Sonic Colors,1.29,79.0
325,DS,2010,68.0,Pokemon Ranger: Guardian Signs,1.29,82.0
326,DS,2007,67.0,Namco Museum DS,1.29,59.0
327,DS,2006,66.0,MechAssault: Phantom War,0.03,45.0
328,DS,2010,77.0,Etrian Odyssey III: The Drowned City,0.31,80.0
329,DS,2008,92.0,Chrono Trigger,1.34,89.0
330,DS,2008,71.0,Secret Files: Tunguska,0.05,76.0
331,DS,2010,68.0,Fossil Fighters: Champions,0.67,71.0
332,DS,2010,69.0,Ivy the Kiwi?,0.05,63.0
333,DS,2011,75.0,de Blob 2,0.11,82.0
334,DS,2009,60.0,Bakugan: Battle Brawlers,1.38,67.0
335,DS,2007,81.0,Final Fantasy XII: Revenant Wings,1.37,61.0
336,DS,2007,60.0,EA Playground,0.33,76.0
337,DS,2008,69.0,Blue Dragon Plus,0.21,65.0
338,DS,2010,43.0,Star Wars: The Force Unleashed II,0.21,40.0
339,DS,2006,60.0,Guilty Gear Dust Strikers,0.05,58.0
340,DS,2010,79.0,Rock Band 3,0.09,55.0
341,DS,2009,60.0,Gardening Mama,1.35,93.0
342,DS,2009,65.0,LEGO Battles,1.25,89.0
343,DS,2007,69.0,Cars: Mater-National Championship,0.68,68.0
344,DS,2007,39.0,The Settlers,0.11,56.0
345,DS,2005,59.0,Tamagotchi Connection: Corner Shop,1.26,77.0
346,DS,2007,66.0,The Sims 2: Castaway,0.71,40.0
347,DS,2008,45.0,Mushroom Men: Rise of the Fungi,0.11,73.0
348,DS,2005,38.0,Bubble Bobble Revolution,0.05,62.0
349,DS,2007,47.0,Death Jr. and the Science Fair of Doom,0.08,75.0
350,DS,2009,82.0,Dawn of Discovery,0.11,73.0
351,DS,2007,78.0,Chibi-Robo! Park Patrol,0.19,75.0
352,DS,2007,81.0,Worms: Open Warfare 2,0.35,91.0
353,DS,2008,72.0,Nostalgia,0.19,76.0
354,DS,2008,78.0,Dragon Ball: Origins,0.12,75.0
355,DS,2010,78.0,Dragon Quest VI: Realms of Revelation,1.73,81.0
356,DS,2007,80.0,Final Fantasy Tactics A2: Grimoire of the Rift,0.75,69.0
357,DS,2007,63.0,Spectrobes,0.74,79.0
358,DS,0,86.0,Advance Wars: Days of Ruin,0.61,87.0
359,DS,2007,20.0,Deal or No Deal,1.7,19.0
360,DS,2007,79.0,Tony Hawk's Proving Ground,0.23,67.0
361,DS,2008,78.0,Soul Bubbles,0.08,80.0
362,DS,2008,70.0,Tomb Raider: Underworld,0.19,84.0
363,DS,2007,78.0,Sonic Rush Adventure,1.15,82.0
364,DS,2007,83.0,Contra 4,0.3,84.0
365,DS,2008,59.0,Need For Speed: Undercover,0.23,67.0
366,DS,2009,67.0,MySims Racing,0.61,73.0
367,DS,2007,61.0,Marvel Trading Card Game,0.12,49.0
368,DS,2005,81.0,Trauma Center: Under the Knife,0.35,87.0
369,DS,2006,82.0,Lunar Knights,0.23,78.0
370,DS,2009,73.0,Dragon Ball Z: Attack of the Saiyans,0.36,79.0
371,DS,2007,65.0,Izuna 2: The Unemployed Ninja Returns,0.06,79.0
372,DS,2009,80.0,Phineas and Ferb,1.84,45.0
373,DS,2006,50.0,X-Men: The Official Game,0.1,78.0
374,DS,2007,69.0,SimCity DS,0.6,63.0
375,DS,2010,70.0,Sonic Classic Collection,1.83,75.0
376,DS,2006,34.0,March of the Penguins,0.05,17.0
377,DS,2010,73.0,Spider-Man: Shattered Dimensions,0.19,70.0
378,DS,2006,68.0,Lost Magic,0.12,82.0
379,DS,2008,59.0,Line Rider 2: Unbound,0.08,56.0
380,DS,2009,84.0,Peggle: Dual Shot,0.12,82.0
381,DS,2008,79.0,Trauma Center: Under the Knife 2,0.11,85.0
382,DS,2008,73.0,Super Robot Taisen OG Saga: Endless Frontier,0.08,90.0
383,DS,2006,46.0,Freedom Wings,0.02,77.0
384,DS,2006,75.0,Dragon Quest Monsters: Joker,1.76,74.0
385,DS,2005,64.0,Battles of Prince of Persia,0.12,77.0
386,DS,2007,43.0,The Golden Compass,0.6,49.0
387,DS,2008,53.0,Ragnarok DS,0.22,58.0
388,DS,2006,61.0,Naruto: Ninja Destiny,0.19,44.0
389,DS,2008,48.0,Red Bull BC One,0.09,53.0
390,DS,2007,61.0,Dinosaur King,0.22,80.0
391,DS,2009,50.0,A Witch's Tale,0.11,62.0
392,DS,2009,71.0,Don King Boxing,0.08,78.0
393,DS,2005,67.0,SpongeBob SquarePants: The Yellow Avenger,0.34,76.0
394,DS,2008,72.0,Guitar Hero: On Tour Decades,1.57,80.0
395,DS,2006,40.0,Tank Beat,0.02,54.0
396,DS,2008,84.0,Dragon Quest V: Hand of the Heavenly Bride,1.57,85.0
397,DS,2008,69.0,SimCity Creator,0.34,73.0
398,DS,2009,54.0,Pokemon Mystery Dungeon: Explorers of Sky,1.56,90.0
399,DS,2007,77.0,Retro Game Challenge,0.11,73.0
400,DS,2007,56.0,Touch the Dead,0.22,56.0
401,DS,2007,82.0,Puzzle Quest: Challenge of the Warlords,0.34,87.0
402,DS,2010,76.0,Solatorobo: Red the Hunter,0.2,79.0
403,DS,2009,55.0,X-Men Origins: Wolverine,0.2,81.0
404,DS,2009,72.0,Drawn to Life: The Next Chapter,0.64,77.0
405,DS,2009,39.0,Inkheart,0.02,22.0
406,DS,2006,56.0,Nacho Libre,0.03,58.0
407,DS,2006,59.0,Mage Knight: Destiny's Soldier,0.02,71.0
408,DS,2010,74.0,Puzzle Quest 2,0.11,58.0
409,DS,2005,73.0,Star Wars Episode III: Revenge of the Sith,0.3,78.0
410,DS,2007,63.0,Code Lyoko,0.05,68.0
411,DS,2009,58.0,Black Sigil: Blade of the Exiled,0.05,75.0
